item_id,bucket,wins,losses,matches,players,avg_buy_time_s,avg_sell_time_s,avg_buy_time_relative,avg_sell_time_relative,hero_id,matches_per_player,win_rate,sell_minus_buy_s,hero_name,item_name,type
7409189,0,293131,302528,595659,182842,437.20597690960767,1918.7454932646592,19.492141917173456,77.13624002573856,1,3.2577799411513766,0.49211209769347897,1481.5395163550515,Infernus,Improved Spirit,upgrade
26002154,0,568,637,1205,873,1028.3560165975105,1740.2160583941607,44.20234323806898,69.68755632696549,1,1.3802978235967927,0.4713692946058091,711.8600417966502,Infernus,Melee Charge,upgrade
84321454,0,84353,89746,174099,70293,875.0338715328635,2195.171721969275,37.86177376851769,82.24637402288984,1,2.4767615552046434,0.4845116858798729,1320.1378504364116,Infernus,Quicksilver Reload,upgrade
98582110,0,329,363,692,480,950.2268786127167,1987.4766839378237,41.070954741286194,75.00700475895938,1,1.4416666666666667,0.4754335260115607,1037.249805325107,Infernus,Stalker,upgrade
112198670,0,16586,17343,33929,17679,905.3394736066492,2112.5383382925156,40.08164068939942,80.00422622468211,1,1.9191696362916455,0.4888443514397713,1207.1988646858663,Infernus,Spirit Shielding,upgrade
334300056,0,2173,2264,4437,2659,1666.439936894298,2491.8479262672813,67.06747624385838,83.31375865628866,1,1.6686724332455811,0.489745323416723,825.4079893729834,Infernus,Stamina Mastery,upgrade
339443430,0,1104,921,2025,1556,2582.4775308641974,2745.2375,86.1854501607739,87.24125081897722,1,1.301413881748072,0.5451851851851852,162.75996913580275,Infernus,Frenzy,upgrade
343572757,0,31213,22501,53714,30177,2260.9791860595005,2443.983026874116,82.80752666461382,87.24763402901876,1,1.7799648739105942,0.5810961760434896,183.00384081461561,Infernus,Spirit Burn,upgrade
365620721,0,1394,1303,2697,1936,2316.0259547645533,2824.5344827586205,81.73737335957648,88.46236329431714,1,1.3930785123966942,0.5168705969595847,508.5085279940672,Infernus,Glass Cannon,upgrade
380806748,0,10075,8972,19047,10318,1253.8183440961832,1621.822811088045,52.429974521298085,66.42520768052097,1,1.8459972862957938,0.5289546910274584,368.0044669918618,Infernus,Compress Cooldown,upgrade
381961617,0,2006,2223,4229,2144,755.9765902104516,2270.4983974358975,32.850128336627094,82.00691824300473,1,1.9724813432835822,0.47434381650508395,1514.5218072254459,Infernus,Active Reload,upgrade
393974127,0,1843,2255,4098,2744,1094.3511469009272,1725.800462962963,46.629796561310485,67.93807138895167,1,1.4934402332361516,0.44973157637872135,631.4493160620357,Infernus,Slowing Bullets,upgrade
395867183,0,12103,12517,24620,12010,938.523314378554,2324.164287883389,42.37272109152488,82.809331611455,1,2.0499583680266444,0.4915922014622258,1385.640973504835,Infernus,Mystic Shot,upgrade
395944548,0,868,757,1625,1000,1585.7193846153846,2628.4765100671143,63.29163456564548,84.15072828507589,1,1.625,0.5341538461538462,1042.7571254517297,Infernus,Torment Pulse,upgrade
465043967,0,1121,1287,2408,1735,834.9094684385382,1516.0783950617283,36.797459540414096,63.22358264347785,1,1.3878962536023054,0.46553156146179403,681.1689266231901,Infernus,Spirit Strike,upgrade
493591231,0,2079,1826,3905,2779,2384.897567221511,2727.65,84.40090485379815,88.19670898566261,1,1.405181720043181,0.532394366197183,342.75243277848904,Infernus,Lightning Scroll,upgrade
499683006,0,41339,33878,75217,38201,1700.5010835316484,1947.8668989547039,69.18957494207194,77.31115558829137,1,1.9689798696369205,0.5495965007910446,247.36581542305544,Infernus,Bullet Lifesteal,upgrade
600033864,0,186,203,389,207,1377.5835475578406,2264.451612903226,60.066760644985976,82.61329164231903,1,1.8792270531400965,0.4781491002570694,886.8680653453853,Infernus,Majestic Leap,upgrade
619484391,0,878,1197,2075,1653,1741.6978313253012,2393.165254237288,69.64045031704778,82.70684188877014,1,1.2552934059286147,0.4231325301204819,651.4674229119869,Infernus,Silence Wave,upgrade
630839635,0,380,296,676,356,1968.8431952662722,2793.4375,75.61664536239365,87.34085792275899,1,1.898876404494382,0.5621301775147929,824.5943047337278,Infernus,Echo Shard,upgrade
